record,created_at
33.1*2*20.9,2024-10-02 09:00:47
35.4*2*24.9,2024-10-02 12:38:18
35.4*2*24.4,2024-10-02 15:00:43
33.8*2*24.2,2024-10-02 16:38:13
33.4*2*23.7,2024-10-02 16:40:53
33.8*2*23.7,2024-10-02 17:20:45
33.9*2*23.4,2024-10-02 17:23:12
33.8*2*23.4,2024-10-02 17:24:41
33.8*2*23.3,2024-10-02 17:27:57
33.8*2*23.3,2024-10-02 17:29:51
33.6*2*23.3,2024-10-02 17:34:18
33.5*2*23.3,2024-10-02 17:36:33
33.5*2*23.3,2024-10-02 17:39:57
33.5*2*23.5,2024-10-02 17:41:29
33.4*2*23.4,2024-10-02 17:43:28
33.4*2*23.4,2024-10-02 17:58:21
33.6*2*23.4,2024-10-02 18:01:20
33.4*2*23.4,2024-10-02 18:06:07
33.5*2*23.3,2024-10-02 21:00:58
33.6*2*22.7,2024-10-03 03:00:57
33.0*2*20.9,2024-10-03 15:00:54
34.8*2*25.4,2024-10-03 21:01:03
33.3*2*22.3,2024-10-04 03:00:57
33.2*2*21.4,2024-10-04 09:00:53
34.2*2*23.5,2024-10-04 12:48:16
34.1*2*24.1,2024-10-04 12:54:39
34.1*2*24.1,2024-10-04 15:00:54
34.1*2*25.1,2024-10-04 21:01:01
33.2*2*22.2,2024-10-05 03:00:53
33.0*2*19.8,2024-10-05 09:00:54
34.2*2*24.3,2024-10-05 15:01:03
34.4*2*24.7,2024-10-05 21:00:53
33.4*2*23.1,2024-10-06 03:00:54
33.0*2*21.4,2024-10-06 09:00:53
33.4*2*23.4,2024-10-06 15:01:03
33.6*2*23.0,2024-10-06 21:01:08
32.6*2*20.9,2024-10-07 03:00:56
32.3*2*19.8,2024-10-07 09:00:57
34.5*2*26.8,2024-10-07 15:01:04
34.2*2*24.2,2024-10-07 21:00:58
32.1*2*20.8,2024-10-08 03:00:58
31.9*2*20.3,2024-10-08 09:00:58
32.6*2*24.2,2024-10-08 15:01:06
35.0*2*26.0,2024-10-08 21:01:01
32.2*2*22.1,2024-10-09 03:00:55
32.0*2*21.0,2024-10-09 09:00:56
34.0*2*26.4,2024-10-09 15:01:07
34.4*2*25.3,2024-10-09 21:01:00
32.6*2*22.0,2024-10-10 03:00:55
32.2*2*19.7,2024-10-10 09:00:55
33.5*2*24.2,2024-10-10 15:01:07
34.3*2*24.1,2024-10-10 21:01:02
32.4*2*21.4,2024-10-11 03:00:56
31.8*2*2,2024-10-11 09:00:55
33.7*2*28.0,2024-10-11 15:01:05
34.1*2*24.2,2024-10-11 21:00:57
33.1*2*21.9,2024-10-12 03:00:56
32.6*2*20.3,2024-10-12 09:00:55
33.5*2*24.9,2024-10-12 15:01:05
35.0*2*25.6,2024-10-12 21:01:02
32.7*2*21.5,2024-10-13 03:00:54
32.4*2*20.6,2024-10-13 09:00:56
35.1*2*27.3,2024-10-13 15:01:06
34.7*2*26.4,2024-10-13 21:00:55
32.3*2*21.6,2024-10-14 03:01:00
32.6*2*20.5,2024-10-14 09:00:56
